"","Area","Region","YearPeriod","AVG_PercentFemale","AVG_PercentMale"
"346","Chad","Africa","Y20092011","",""
"347","Chad","Africa","Y20102012","",""
"348","Chad","Africa","Y20112013","",""
"349","Chad","Africa","Y20122014","",""
"350","Chad","Africa","Y20132015","",""
"351","Chad","Africa","Y20142016","",""
"352","Chad","Africa","Y20152017","",""
"353","Chad","Africa","Y20162018","",""
"354","Chad","Africa","Y20172019","",""
"355","Chad","Africa","Y20182020","",""
"356","Chad","Africa","Y20192021","",""
"357","Chad","Africa","Y20202022","",""
"358","Comoros","Africa","Y20002002","",""
"359","Comoros","Africa","Y20012003","",""
"360","Comoros","Africa","Y20022004","",""
"361","Comoros","Africa","Y20032005","",""
"362","Comoros","Africa","Y20042006","",""
"363","Comoros","Africa","Y20052007","",""
"364","Comoros","Africa","Y20062008","",""
"365","Comoros","Africa","Y20072009","",""
"366","Comoros","Africa","Y20082010","",""
"367","Comoros","Africa","Y20092011","",""
"368","Comoros","Africa","Y20102012","",""
"369","Comoros","Africa","Y20112013","",""
"370","Comoros","Africa","Y20122014","",""
"371","Comoros","Africa","Y20132015","",""
"372","Comoros","Africa","Y20142016","",""
"373","Comoros","Africa","Y20152017","",""
"374","Comoros","Africa","Y20162018","",""
"375","Comoros","Africa","Y20172019","",""
"376","Comoros","Africa","Y20182020","",""
"377","Comoros","Africa","Y20192021","28.4","28.4"
"378","Comoros","Africa","Y20202022","28.4","28.4"
"379","Congo","Africa","Y20002002","",""
"380","Congo","Africa","Y20012003","",""
"381","Congo","Africa","Y20022004","",""
"382","Congo","Africa","Y20032005","",""
"383","Congo","Africa","Y20042006","",""
"384","Congo","Africa","Y20052007","",""
"385","Congo","Africa","Y20062008","",""
"386","Congo","Africa","Y20072009","",""
"387","Congo","Africa","Y20082010","",""
"388","Congo","Africa","Y20092011","",""
"389","Congo","Africa","Y20102012","",""
"390","Congo","Africa","Y20112013","",""
"391","Congo","Africa","Y20122014","",""
"392","Congo","Africa","Y20132015","",""
"393","Congo","Africa","Y20142016","42.6","42.6"
"394","Congo","Africa","Y20152017","46.5","46.5"
"395","Congo","Africa","Y20162018","49.2","49.2"
"396","Congo","Africa","Y20172019","49.7","49.7"
"397","Congo","Africa","Y20182020","49.9","49.9"
"398","Congo","Africa","Y20192021","54.9","54.9"
"399","Congo","Africa","Y20202022","59.7","59.7"
"400","Croatia","Europe","Y20002002","",""
"401","Croatia","Europe","Y20012003","",""
"402","Croatia","Europe","Y20022004","",""
"403","Croatia","Europe","Y20032005","",""
"404","Croatia","Europe","Y20042006","",""
"405","Croatia","Europe","Y20052007","",""
"406","Croatia","Europe","Y20062008","",""
"407","Croatia","Europe","Y20072009","",""
"408","Croatia","Europe","Y20082010","",""
"409","Croatia","Europe","Y20092011","",""
"410","Croatia","Europe","Y20102012","",""
"411","Croatia","Europe","Y20112013","",""
"412","Croatia","Europe","Y20122014","",""
"413","Croatia","Europe","Y20132015","",""
"414","Croatia","Europe","Y20142016","0.5","0.5"
"415","Croatia","Europe","Y20152017","0.8","0.8"
"416","Croatia","Europe","Y20162018","0.8","0.8"
"417","Croatia","Europe","Y20172019","1","1"
"418","Croatia","Europe","Y20182020","1.7","1.7"
"419","Croatia","Europe","Y20192021","2.1","2.1"
"420","Croatia","Europe","Y20202022","2.2","2.2"
"421","Czechia","Europe","Y20002002","",""
"422","Czechia","Europe","Y20012003","",""
"423","Czechia","Europe","Y20022004","",""
"424","Czechia","Europe","Y20032005","",""
"425","Czechia","Europe","Y20042006","",""
"426","Czechia","Europe","Y20052007","",""
"427","Czechia","Europe","Y20062008","",""
"428","Czechia","Europe","Y20072009","",""
"429","Czechia","Europe","Y20082010","",""
"430","Czechia","Europe","Y20092011","",""
"431","Czechia","Europe","Y20102012","",""
"432","Czechia","Europe","Y20112013","",""
"433","Czechia","Europe","Y20122014","",""
"434","Czechia","Europe","Y20132015","",""
"435","Czechia","Europe","Y20142016","0.7","0.7"
"436","Czechia","Europe","Y20152017","<0.5","<0.5"
"437","Czechia","Europe","Y20162018","<0.5","<0.5"
"438","Czechia","Europe","Y20172019","0.6","0.6"
"439","Czechia","Europe","Y20182020","0.9","0.9"
"440","Czechia","Europe","Y20192021","1.4","1.4"
"441","Czechia","Europe","Y20202022","2","2"
"442","Côte d'Ivoire","Africa","Y20002002","",""
"443","Côte d'Ivoire","Africa","Y20012003","",""
"444","Côte d'Ivoire","Africa","Y20022004","",""
"445","Côte d'Ivoire","Africa","Y20032005","",""
"446","Côte d'Ivoire","Africa","Y20042006","",""
"447","Côte d'Ivoire","Africa","Y20052007","",""
"448","Côte d'Ivoire","Africa","Y20062008","",""
"449","Côte d'Ivoire","Africa","Y20072009","",""
"450","Côte d'Ivoire","Africa","Y20082010","",""
"451","Côte d'Ivoire","Africa","Y20092011","",""
"452","Côte d'Ivoire","Africa","Y20102012","",""
"453","Côte d'Ivoire","Africa","Y20112013","",""
"454","Côte d'Ivoire","Africa","Y20122014","",""
"455","Côte d'Ivoire","Africa","Y20132015","",""
"456","Côte d'Ivoire","Africa","Y20142016","6.3","6.3"
"457","Côte d'Ivoire","Africa","Y20152017","7.6","7.6"
"458","Côte d'Ivoire","Africa","Y20162018","8.5","8.5"
"459","Côte d'Ivoire","Africa","Y20172019","9.2","9.2"
"460","Côte d'Ivoire","Africa","Y20182020","9.2","9.2"
"461","Côte d'Ivoire","Africa","Y20192021","9.5","9.5"
"462","Côte d'Ivoire","Africa","Y20202022","9.8","9.8"
"463","Democratic Republic of the Congo","Africa","Y20002002","",""
"464","Democratic Republic of the Congo","Africa","Y20012003","",""
"465","Democratic Republic of the Congo","Africa","Y20022004","",""
"466","Democratic Republic of the Congo","Africa","Y20032005","",""
"467","Democratic Republic of the Congo","Africa","Y20042006","",""
"468","Democratic Republic of the Congo","Africa","Y20052007","",""
"469","Democratic Republic of the Congo","Africa","Y20062008","",""
"470","Democratic Republic of the Congo","Africa","Y20072009","",""
"471","Democratic Republic of the Congo","Africa","Y20082010","",""
"472","Democratic Republic of the Congo","Africa","Y20092011","",""
"473","Democratic Republic of the Congo","Africa","Y20102012","",""
"474","Democratic Republic of the Congo","Africa","Y20112013","",""
"475","Democratic Republic of the Congo","Africa","Y20122014","",""
"476","Democratic Republic of the Congo","Africa","Y20132015","",""
"477","Democratic Republic of the Congo","Africa","Y20142016","",""
"478","Democratic Republic of the Congo","Africa","Y20152017","",""
"479","Democratic Republic of the Congo","Africa","Y20162018","",""
"480","Democratic Republic of the Congo","Africa","Y20172019","",""
"481","Democratic Republic of the Congo","Africa","Y20182020","37.2","37.2"
"482","Democratic Republic of the Congo","Africa","Y20192021","37.9","37.9"
"483","Democratic Republic of the Congo","Africa","Y20202022","39.3","39.3"
"484","Denmark","Europe","Y20002002","",""
"485","Denmark","Europe","Y20012003","",""
"486","Denmark","Europe","Y20022004","",""
"487","Denmark","Europe","Y20032005","",""
"488","Denmark","Europe","Y20042006","",""
"489","Denmark","Europe","Y20052007","",""
"490","Denmark","Europe","Y20062008","",""
"491","Denmark","Europe","Y20072009","",""
"492","Denmark","Europe","Y20082010","",""
"493","Denmark","Europe","Y20092011","",""
"494","Denmark","Europe","Y20102012","",""
"495","Denmark","Europe","Y20112013","",""
"496","Denmark","Europe","Y20122014","",""
"497","Denmark","Europe","Y20132015","",""
"498","Denmark","Europe","Y20142016","1","1"
"499","Denmark","Europe","Y20152017","1.3","1.3"
"500","Denmark","Europe","Y20162018","1.6","1.6"
"501","Denmark","Europe","Y20172019","1.5","1.5"
"502","Denmark","Europe","Y20182020","1.3","1.3"
"503","Denmark","Europe","Y20192021","1.6","1.6"
"504","Denmark","Europe","Y20202022","1.9","1.9"
"505","Djibouti","Africa","Y20002002","",""
"506","Djibouti","Africa","Y20012003","",""
"507","Djibouti","Africa","Y20022004","",""
"508","Djibouti","Africa","Y20032005","",""
"509","Djibouti","Africa","Y20042006","",""
"510","Djibouti","Africa","Y20052007","",""
"511","Djibouti","Africa","Y20062008","",""
"512","Djibouti","Africa","Y20072009","",""
"513","Djibouti","Africa","Y20082010","",""
"514","Djibouti","Africa","Y20092011","",""
"515","Djibouti","Africa","Y20102012","",""
"516","Djibouti","Africa","Y20112013","",""
"517","Djibouti","Africa","Y20122014","",""
"518","Djibouti","Africa","Y20132015","",""
"519","Djibouti","Africa","Y20142016","",""
"520","Djibouti","Africa","Y20152017","",""
"521","Djibouti","Africa","Y20162018","",""
"522","Djibouti","Africa","Y20172019","",""
"523","Djibouti","Africa","Y20182020","",""
"524","Djibouti","Africa","Y20192021","15.4","15.4"
"525","Djibouti","Africa","Y20202022","15.4","15.4"
"526","Egypt","Africa","Y20002002","",""
"527","Egypt","Africa","Y20012003","",""
"528","Egypt","Africa","Y20022004","",""
"529","Egypt","Africa","Y20032005","",""
"530","Egypt","Africa","Y20042006","",""
"531","Egypt","Africa","Y20052007","",""
"532","Egypt","Africa","Y20062008","",""
"533","Egypt","Africa","Y20072009","",""
"534","Egypt","Africa","Y20082010","",""
"535","Egypt","Africa","Y20092011","",""
"536","Egypt","Africa","Y20102012","",""
"537","Egypt","Africa","Y20112013","",""
"538","Egypt","Africa","Y20122014","",""
"539","Egypt","Africa","Y20132015","",""
"540","Egypt","Africa","Y20142016","9.9","9.9"
"541","Egypt","Africa","Y20152017","9.7","9.7"
"542","Egypt","Africa","Y20162018","9.8","9.8"
"543","Egypt","Africa","Y20172019","7.9","7.9"
"544","Egypt","Africa","Y20182020","7","7"
"545","Egypt","Africa","Y20192021","7.7","7.7"
"546","Egypt","Africa","Y20202022","9.8","9.8"
"547","Equatorial Guinea","Africa","Y20002002","",""
"548","Equatorial Guinea","Africa","Y20012003","",""
"549","Equatorial Guinea","Africa","Y20022004","",""
"550","Equatorial Guinea","Africa","Y20032005","",""
"551","Equatorial Guinea","Africa","Y20042006","",""
"552","Equatorial Guinea","Africa","Y20052007","",""
"553","Equatorial Guinea","Africa","Y20062008","",""
"554","Equatorial Guinea","Africa","Y20072009","",""
"555","Equatorial Guinea","Africa","Y20082010","",""
"556","Equatorial Guinea","Africa","Y20092011","",""
"557","Equatorial Guinea","Africa","Y20102012","",""
"558","Equatorial Guinea","Africa","Y20112013","",""
"559","Equatorial Guinea","Africa","Y20122014","",""
"560","Equatorial Guinea","Africa","Y20132015","",""
"561","Equatorial Guinea","Africa","Y20142016","",""
"562","Equatorial Guinea","Africa","Y20152017","",""
"563","Equatorial Guinea","Africa","Y20162018","",""
"564","Equatorial Guinea","Africa","Y20172019","",""
"565","Equatorial Guinea","Africa","Y20182020","",""
"566","Equatorial Guinea","Africa","Y20192021","",""
"567","Equatorial Guinea","Africa","Y20202022","",""
"568","Eritrea","Africa","Y20002002","",""
"569","Eritrea","Africa","Y20012003","",""
"570","Eritrea","Africa","Y20022004","",""
"571","Eritrea","Africa","Y20032005","",""
"572","Eritrea","Africa","Y20042006","",""
"573","Eritrea","Africa","Y20052007","",""
"574","Eritrea","Africa","Y20062008","",""
"575","Eritrea","Africa","Y20072009","",""
"576","Eritrea","Africa","Y20082010","",""
"577","Eritrea","Africa","Y20092011","",""
"578","Eritrea","Africa","Y20102012","",""
"579","Eritrea","Africa","Y20112013","",""
"580","Eritrea","Africa","Y20122014","",""
"581","Eritrea","Africa","Y20132015","",""
"582","Eritrea","Africa","Y20142016","",""
"583","Eritrea","Africa","Y20152017","",""
"584","Eritrea","Africa","Y20162018","",""
"585","Eritrea","Africa","Y20172019","",""
"586","Eritrea","Africa","Y20182020","",""
"587","Eritrea","Africa","Y20192021","",""
"588","Eritrea","Africa","Y20202022","",""
